,day,hour,label,points,points_per,center_x,center_y,cluster_count,region_surface,region_vertices
36,0,0,36,1164,0.02328,40.708658783738564,-74.01073719908875,44.0,0.00017727081500011228,"[[ 40.7083    -74.0009   ]
 [ 40.7057505 -74.0029056]
 [ 40.7024    -74.0123   ]
 [ 40.7023    -74.0129   ]
 [ 40.702786  -74.0157731]
 [ 40.705     -74.0174   ]
 [ 40.7081    -74.0176   ]
 [ 40.7165    -74.0164   ]
 [ 40.7181    -74.015    ]
 [ 40.718     -74.0146   ]
 [ 40.717     -74.011    ]
 [ 40.7165    -74.0098   ]
 [ 40.7128    -74.0045   ]
 [ 40.7089    -74.0009   ]]"
37,0,0,37,3,6e-05,40.2117,-74.01326666666667,44.0,0.0002017450000006458,"[[ 40.1894 -74.0269]
 [ 40.2256 -74.0108]
 [ 40.2201 -74.0021]]"
38,0,0,38,2,4e-05,40.3884,-73.9919,44.0,,
39,0,0,39,18,0.00036,42.613112099999995,-73.80650059999999,44.0,,
40,0,0,40,1,2e-05,40.7974,-74.4784,44.0,,
41,0,0,41,2026,0.04052,40.764142106520005,-73.87592230568104,44.0,0.0010602714599997729,"[[ 40.7715    -73.8921   ]
 [ 40.7876014 -73.8459682]
 [ 40.7569    -73.8645   ]
 [ 40.7471    -73.8741   ]
 [ 40.7445    -73.8848   ]
 [ 40.7466    -73.8935   ]
 [ 40.7589    -73.8954   ]]"
42,0,0,42,1064,0.02128,40.73687831621295,-73.95258726402126,44.0,0.00041469364000014814,"[[ 40.7541    -73.9492   ]
 [ 40.7554496 -73.9433957]
 [ 40.7541    -73.9424   ]
 [ 40.7511    -73.9403   ]
 [ 40.748     -73.9407   ]
 [ 40.7272    -73.9478   ]
 [ 40.7221    -73.95     ]
 [ 40.723     -73.953    ]
 [ 40.7254    -73.9575   ]
 [ 40.727     -73.9589   ]
 [ 40.7297    -73.9598   ]
 [ 40.7332    -73.9599   ]
 [ 40.7443    -73.9582   ]
 [ 40.7477    -73.9563   ]]"
43,0,0,43,745,0.0149,40.66722122424243,-73.92848085454546,44.0,0.0006006531750000891,"[[ 40.6583    -73.9117   ]
 [ 40.6556    -73.9261   ]
 [ 40.6561    -73.9298   ]
 [ 40.6612    -73.9455   ]
 [ 40.664     -73.9456   ]
 [ 40.6725    -73.9419   ]
 [ 40.6754    -73.9381   ]
 [ 40.6767    -73.9333   ]
 [ 40.6774    -73.9146   ]
 [ 40.6757317 -73.9124338]]"
0,0,1,0,789,0.02475216463797214,40.84970989139973,-73.9257083753587,40.0,0.00577949930339958,"[[ 40.8412905 -73.8778302]
 [ 40.8155    -73.9218   ]
 [ 40.829     -73.9468   ]
 [ 40.8526    -73.9655   ]
 [ 40.9337    -73.9372   ]
 [ 40.90056   -73.90639  ]
 [ 40.8903    -73.8989   ]
 [ 40.8894635 -73.898489 ]]"
1,0,1,1,1427,0.04476722298908269,40.80649345790525,-73.9544095235791,40.0,0.0023783290649999804,"[[ 40.7854    -73.973    ]
 [ 40.7877    -73.9788   ]
 [ 40.8304    -73.9972   ]
 [ 40.8266    -73.9506   ]
 [ 40.8239    -73.9441   ]
 [ 40.8227    -73.9421   ]
 [ 40.8139    -73.9283   ]
 [ 40.8066    -73.9211   ]
 [ 40.7914478 -73.9210237]
 [ 40.7857    -73.9704   ]]"
2,0,1,2,1566,0.04912787049818045,40.68153269996365,-73.98561941304355,40.0,0.002017391395000005,"[[ 40.6758    -74.0169   ]
 [ 40.7076    -73.9909   ]
 [ 40.6997716 -73.9753359]
 [ 40.6833    -73.9608   ]
 [ 40.6748    -73.9633   ]
 [ 40.6457    -73.9954   ]
 [ 40.6552    -74.0106   ]]"
3,0,1,3,3802,0.11927468942150835,40.760819238381075,-73.98007948869972,40.0,0.0010514549999999887,"[[ 40.7448 -73.979 ]
 [ 40.7594 -74.0033]
 [ 40.7748 -73.9911]
 [ 40.7774 -73.9888]
 [ 40.7845 -73.9818]
 [ 40.786  -73.9769]
 [ 40.786  -73.9763]
 [ 40.764  -73.9604]
 [ 40.7624 -73.96  ]
 [ 40.759  -73.9604]
 [ 40.7562 -73.9613]
 [ 40.7462 -73.9698]]"
4,0,1,4,926,0.02905006901744259,40.75813513376623,-73.92833705151514,40.0,0.0014684425466046649,"[[ 40.7372    -73.9285   ]
 [ 40.7434    -73.9569   ]
 [ 40.745     -73.9575   ]
 [ 40.7463    -73.9566   ]
 [ 40.7541    -73.9493   ]
 [ 40.7720145 -73.9302673]
 [ 40.7788277 -73.922658 ]
 [ 40.7794    -73.9069   ]
 [ 40.775     -73.8967   ]
 [ 40.7612    -73.9016   ]
 [ 40.7532    -73.9073   ]
 [ 40.7393    -73.9205   ]]"
5,0,1,5,2,6.274312962730582e-05,40.83865,-73.346,40.0,,
